Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy,Fold
0,5.8296,0.3594,0.7667,0.8653,Fold 1
1,5.7118,0.3365,0.8006,0.8753,Fold 1
2,5.6767,0.3225,0.8095,0.8667,Fold 1
3,5.653,0.3223,0.8147,0.8753,Fold 1
4,5.6396,0.3217,0.8207,0.8653,Fold 1
5,5.6291,0.3136,0.8189,0.874,Fold 1
6,5.6184,0.3067,0.8237,0.8753,Fold 1
7,5.6119,0.3073,0.8231,0.8767,Fold 1
8,5.604,0.3143,0.8245,0.874,Fold 1
9,5.5984,0.315,0.8296,0.8767,Fold 1
10,5.5931,0.3063,0.8259,0.8733,Fold 1
11,5.5891,0.3063,0.8273,0.8713,Fold 1
12,5.5856,0.296,0.8283,0.8873,Fold 1
13,5.5812,0.3122,0.8307,0.88,Fold 1
14,5.578,0.3005,0.8295,0.8753,Fold 1
15,5.6024,1.4801,0.8223,0.532,Fold 1
16,5.5867,0.3084,0.8234,0.8793,Fold 1
17,5.577,0.3061,0.8285,0.8793,Fold 1
18,5.5764,0.3066,0.829,0.876,Fold 1
19,5.5696,0.3168,0.8286,0.8753,Fold 1
0,6.014,0.46,0.7824,0.7853,Fold 2
1,5.6719,0.4466,0.8166,0.796,Fold 2
2,5.6335,0.4303,0.8251,0.7987,Fold 2
3,5.6123,0.4326,0.8246,0.8047,Fold 2
4,5.594,0.4475,0.8317,0.7967,Fold 2
5,5.5809,0.4337,0.8349,0.802,Fold 2
6,5.5693,0.4196,0.8348,0.8093,Fold 2
7,5.56,0.4125,0.8359,0.82,Fold 2
8,5.5526,0.4321,0.8371,0.8013,Fold 2
9,5.5476,0.4211,0.8393,0.8147,Fold 2
10,5.5432,0.416,0.8391,0.8133,Fold 2
11,5.5391,0.4154,0.8393,0.808,Fold 2
12,5.5365,0.4285,0.841,0.8047,Fold 2
13,5.5335,0.4058,0.8431,0.8173,Fold 2
14,5.5318,0.4114,0.8418,0.8133,Fold 2
15,5.5278,0.403,0.8413,0.8133,Fold 2
16,5.5248,0.4243,0.8467,0.804,Fold 2
17,5.5241,0.4049,0.8461,0.8113,Fold 2
18,5.5229,0.4094,0.8443,0.8153,Fold 2
19,5.5217,0.4216,0.8475,0.81,Fold 2
0,6.0093,0.4627,0.7887,0.7733,Fold 3
1,5.6581,0.447,0.822,0.79,Fold 3
2,5.6294,0.4458,0.8273,0.782,Fold 3
3,5.6102,0.4325,0.8291,0.796,Fold 3
4,5.5979,0.4273,0.8333,0.7913,Fold 3
5,5.589,0.4259,0.8365,0.786,Fold 3
6,5.5797,0.4414,0.8321,0.776,Fold 3
7,5.5725,0.4118,0.8378,0.8033,Fold 3
8,5.5658,0.4202,0.8377,0.794,Fold 3
9,5.5597,0.4042,0.8377,0.8027,Fold 3
10,5.5552,0.4011,0.8411,0.812,Fold 3
11,5.55,0.4178,0.8429,0.7953,Fold 3
12,5.5479,0.3983,0.8403,0.802,Fold 3
13,5.5432,0.4146,0.845,0.8167,Fold 3
14,5.5407,0.399,0.8455,0.806,Fold 3
15,5.5366,0.4002,0.8461,0.8127,Fold 3
16,5.5322,0.4049,0.8462,0.8167,Fold 3
17,5.531,0.3964,0.8465,0.8173,Fold 3
18,5.5298,0.3944,0.8468,0.8093,Fold 3
19,5.5271,0.3912,0.8485,0.808,Fold 3
0,6.0224,0.4492,0.7811,0.798,Fold 4
1,5.6694,0.3992,0.8148,0.8253,Fold 4
2,5.6328,0.4058,0.8189,0.8227,Fold 4
3,5.6149,0.3908,0.8239,0.838,Fold 4
4,5.6011,0.5025,0.8271,0.7647,Fold 4
5,5.5914,0.3981,0.8265,0.826,Fold 4
6,5.5795,0.3802,0.826,0.84,Fold 4
7,5.572,0.3786,0.8292,0.8407,Fold 4
8,5.5676,0.3677,0.8341,0.8433,Fold 4
9,5.5606,0.3576,0.8333,0.8473,Fold 4
10,5.5559,0.3688,0.835,0.838,Fold 4
11,5.5546,0.3925,0.8353,0.8287,Fold 4
12,5.5493,0.3653,0.8362,0.84,Fold 4
13,5.5638,0.3796,0.8338,0.8353,Fold 4
14,5.577,0.3823,0.8252,0.83,Fold 4
15,5.5691,0.4256,0.8267,0.8087,Fold 4
16,6.0516,0.3791,0.8247,0.8373,Fold 4
17,6.0566,0.411,0.8321,0.8173,Fold 4
18,5.9075,0.425,0.8352,0.8087,Fold 4
19,5.8085,0.3858,0.8373,0.8327,Fold 4
0,6.0221,0.4401,0.7856,0.7847,Fold 5
1,5.6688,0.4285,0.8196,0.7907,Fold 5
2,5.7224,0.4359,0.8204,0.7973,Fold 5
3,6.3755,0.4181,0.8275,0.796,Fold 5
4,6.3537,0.4054,0.8342,0.8167,Fold 5
5,6.3194,0.4172,0.8393,0.8127,Fold 5
6,6.1123,0.4481,0.8398,0.7973,Fold 5
7,5.7579,0.4045,0.8394,0.814,Fold 5
8,5.6786,0.4071,0.844,0.816,Fold 5
9,5.6469,0.4163,0.8424,0.806,Fold 5
10,5.626,0.4433,0.8448,0.8127,Fold 5
11,5.6081,0.4309,0.8474,0.8113,Fold 5
12,5.5961,0.4163,0.8458,0.8,Fold 5
13,5.5837,0.4091,0.8481,0.8127,Fold 5
14,5.5651,0.4063,0.8487,0.816,Fold 5
15,5.5513,0.4163,0.8535,0.81,Fold 5
16,5.5447,0.4232,0.851,0.8107,Fold 5
17,5.5366,0.4104,0.8503,0.8107,Fold 5
18,5.5302,0.4121,0.8542,0.8093,Fold 5
19,5.5236,0.402,0.8549,0.8247,Fold 5
